ID,First Name,Last Name,Money Available,Concerts Purchased,TicketMiner Membership,Username,Password
1,Mickey,Mouse,2834.16,0,true,mickeymouse,Fun!23
2,Donald,Duck,4005.09,0,true,donaldduck,Fun!23
3,Minnie,Mouse,4248.87,0,true,minniemouse,Fun!23
4,Goofy,Disney,5274.36,0,true,goofydisney,Fun!23
5,Pluto,Disney,3619.64,0,true,plutodisney,Fun!23
6,Chip,Disney,3480.49,0,false,chipdisney,Fun!23
7,Dale,Disney,4267.92,0,true,daledisney,Fun!23
8,Cinderella,Disney,5237.59,0,true,cinderelladisney,Fun!23
9,Ariel,Disney,1895.46,0,false,arieldisney,Fun!23
10,Jasmine,Disney,1455.3,0,false,jasminedisney,Fun!23
11,Aladdin,Disney,5424.66,0,false,aladdindisney,Fun!23
12,Simba,Disney,2457.27,0,false,simbadisney,Fun!23
13,Mufassa,Disney,4220.54,0,false,mufassadisney,Fun!23
14,Aurora,Disney,4419,0,true,auroradisney,Fun!23
15,Peter,Pan,3671.35,0,false,peterpan,Fun!23
16,Woody,Disney,5533.01,0,false,woodydisney,Fun!23
17,Buzz,Lightyear,2613.88,0,true,buzzlightyear,Fun!23
18,Jafar,Aladdin,4679.93,0,true,jafaraladdin,Fun!23
19,Ursela,Mermaid,4648.14,0,false,urselamermaid,Fun!23
20,Beast,Disney,5874.56,0,true,beastdisney,Fun!23
21,Belle,Disney,2902.29,0,false,belledisney,Fun!23
22,Cruella,DeVil,5286.31,0,false,cruelladevil,Fun!23
23,Scar,Lion,5559.58,0,true,scarlion,Fun!23
24,Simba,King,1086.76,0,true,simbaking,Fun!23
25,Gaston,Disney,3499.29,0,false,gastondisney,Fun!23
26,Shere,Khan,3952.39,0,true,sherekhan,Fun!23
27,Captaiin,Hook,1489.54,0,false,captaiinhook,Fun!23
28,Kaa,Disney,5086.69,0,false,kaadisney,Fun!23
29,Evil,Queen,4376.77,0,false,evilqueen,Fun!23
30,Pinocchio,Disney,3358.42,0,false,pinocchiodisney,Fun!23
31,Prince,Eric,5623.12,0,false,princeeric,Fun!23
32,Quasimodo,Disney,5424.93,0,true,quasimododisney,Fun!23
33,Hercules,Disney,5411.05,0,false,herculesdisney,Fun!23
34,Mulan,Disney,4245.28,0,false,mulandisney,Fun!23
35,Lilo,Disney,1477.21,0,false,lilodisney,Fun!23
36,Stitch,Disney,2330.13,0,true,stitchdisney,Fun!23
37,Daniel,Mejia,4053.24,0,false,danielmejia,Fun!23
38,Alireza,Nouri,4837.79,0,true,alirezanouri,Fun!23
39,Isabella,Gaytan,3783.31,0,true,isabellagaytan,Fun!23
40,Alondra,Gonzalez,2120.28,0,false,alondragonzalez,Fun!23
41,Angel,Aguayo,5872.41,0,false,aguayoangel,Fun!23
42,Cesar,Alvarez,2706.94,0,true,alvarezcesar,Fun!23
43,Javier,Aranda,3819.46,0,false,arandajavier,Fun!23
44,Rafael,Ayala,5471.46,0,false,ayalarafael,Fun!23
45,Raul,BaezRamirez,3964.69,0,true,baezramirezraul,Fun!23
46,Alondra,Baquier,1199.76,0,false,baquieralondra,Fun!23
47,Darien,Booth,5757.35,0,true,boothdarien,Fun!23
48,Gabriela,Canizales,3189.22,0,true,canizalesgabriela,Fun!23
49,Steven,Carrillo,3837.86,0,true,carrillosteven,Fun!23
50,Bungein,Cheng,5370.08,0,false,chengbungein,Fun!23
51,Valeria,Contreras,2721.96,0,true,contrerasvaleria,Fun!23
52,Cesar,DiazCaraveo,3731.94,0,true,diazcaraveocesar,Fun!23
53,Hector,Diaz,5083.36,0,false,diazhector,Fun!23
54,Marco,GarciaFernandez,2626.87,0,true,garciafernandezmarco,Fun!23
55,Christian,Garcia,4507.94,0,false,garciachristian,Fun!23
56,Isabella,Garcia,1304.29,0,false,garciaisabella,Fun!23
57,Jorge,Garcia,5528.85,0,true,garciajorge,Fun!23
58,Eric,Gardea,5856.11,0,false,gardeaeric,Fun!23
59,Derek,Gomez,3354.01,0,false,gomezderek,Fun!23
60,Maria,Gonzalez,3066.79,0,false,gonzalezmaria,Fun!23
61,Kevin,Guerra,1620.48,0,true,guerrakevin,Fun!23
62,Ian,Gutierrez,2926.18,0,true,gutierrezian,Fun!23
63,Alan,Holguin,2761,0,true,holguinalan,Fun!23
64,Jazmin,Huerta,4897.51,0,true,huertajazmin,Fun!23
65,Michael,Ike,5229.38,0,true,ikemichael,Fun!23
66,Jorge,Jaquez,5261.15,0,false,jaquezjorge,Fun!23
67,Roberto,Johnson,1254.84,0,true,johnsonroberto,Fun!23
68,Kimberly,Kocian,4017.83,0,false,kociankimberly,Fun!23
69,Erik,Laneave,1472.37,0,true,laneaveerik,Fun!23
70,Devin,Lara,5608.53,0,false,laradevin,Fun!23
71,Caleb,Lopez,3541.01,0,true,lopezcaleb,Fun!23
72,Claire,Macdonald,1693.78,0,false,macdonaldclaire,Fun!23
73,Sebastian,Mercado,5509.15,0,false,mercadosebastian,Fun!23
74,Natalia,MestaValenzuela,978.62,0,false,mestavalenzuelanatalia,Fun!23
75,Christin,Moreno,2941.52,0,false,morenochristin,Fun!23
76,Saeefa,Nowmi,3735.72,0,true,nowmisaeefa,Fun!23
77,Christian,Odom,4283.07,0,true,odomchristian,Fun!23
78,Marko,Padilla,5088.33,0,false,padillamarko,Fun!23
79,Raul,Pallares,3847.82,0,true,pallaresraul,Fun!23
80,Diego,Pedraza,1051.2,0,true,pedrazadiego,Fun!23
81,Anaiah,Quinn,1664.67,0,true,quinnanaiah,Fun!23
82,Luis,Quinones,3250.74,0,false,quinonesluis,Fun!23
83,Fernando,Remes,4982.03,0,true,remesfernando,Fun!23
84,Ashley,Rivas,892.58,0,false,rivasashley,Fun!23
85,Adrian,Rocha,3128.2,0,false,rochaadrian,Fun!23
86,Christian,Rodriguez,2590.11,0,false,rodriguezchristian,Fun!23
87,Sabas,Rojas,3924.63,0,true,rojassabas,Fun!23
88,Edgar,Ruiz,5671.84,0,true,ruizedgar,Fun!23
89,Salvador,Ruiz,3676.73,0,true,ruizsalvador,Fun!23
90,Jorge,Sandoval,5961.74,0,false,sandovaljorge,Fun!23
91,Fernando,Sepulveda,5314.87,0,false,sepulvedafernando,Fun!23
92,William,Staker,3056.52,0,true,stakerwilliam,Fun!23
93,Angel,UrbinaAraiza,2712.98,0,true,urbinaaraizaangel,Fun!23
94,Martin,Vallecillo,4458.83,0,false,vallecillomartin,Fun!23
95,Javier,Vazquez,2249.03,0,true,vazquezjavier,Fun!23
96,Walter,Wawra,2773.46,0,true,wawrawalter,Fun!23
97,Zachary,Wittmann,2444.23,0,true,wittmannzachary,Fun!23
98,Maria,Zuany,1059.96,0,true,zuanymaria,Fun!23
