ID,First Name,Last Name,Money Available,Tickets Purchased,TicketMiner Membership,Username,Password
1,Mickey,Mouse,3793.7,0,true,mickeymouse,Fun!23
2,Donald,Duck,5776.87,0,false,donaldduck,Fun!23
3,Minnie,Mouse,4195.46,0,false,minniemouse,Fun!23
4,Goofy,Disney,4708.57,0,true,goofydisney,Fun!23
5,Pluto,Disney,2382.5,0,true,plutodisney,Fun!23
6,Chip,Disney,5032.99,0,false,chipdisney,Fun!23
7,Dale,Disney,5463.59,0,true,daledisney,Fun!23
8,Cinderella,Disney,5015.21,0,false,cinderelladisney,Fun!23
9,Ariel,Disney,4047.8,0,false,arieldisney,Fun!23
10,Jasmine,Disney,5378.21,0,true,jasminedisney,Fun!23
11,Aladdin,Disney,1461.88,0,false,aladdindisney,Fun!23
12,Simba,Disney,813.54,0,false,simbadisney,Fun!23
13,Mufassa,Disney,3453.48,0,true,mufassadisney,Fun!23
14,Aurora,Disney,1171.81,0,false,auroradisney,Fun!23
15,Peter,Pan,4119.94,0,true,peterpan,Fun!23
16,Woody,Disney,2515.68,0,true,woodydisney,Fun!23
17,Buzz,Lightyear,1602.37,0,true,buzzlightyear,Fun!23
18,Jafar,Aladdin,2238.86,0,true,jafaraladdin,Fun!23
19,Ursela,Mermaid,4179.3,0,false,urselamermaid,Fun!23
20,Beast,Disney,879.71,0,true,beastdisney,Fun!23
21,Belle,Disney,5705.06,0,true,belledisney,Fun!23
22,Cruella,DeVil,1632.59,0,true,cruelladevil,Fun!23
23,Scar,Lion,5586.57,0,true,scarlion,Fun!23
24,Simba,King,2927.92,0,false,simbaking,Fun!23
25,Gaston,Disney,2278.85,0,false,gastondisney,Fun!23
26,Shere,Khan,1682.67,0,false,sherekhan,Fun!23
27,Captaiin,Hook,1891.36,0,true,captaiinhook,Fun!23
28,Kaa,Disney,1247.22,0,false,kaadisney,Fun!23
29,Evil,Queen,1285,0,true,evilqueen,Fun!23
30,Pinocchio,Disney,1111.79,0,true,pinocchiodisney,Fun!23
31,Prince,Eric,1101.54,0,false,princeeric,Fun!23
32,Quasimodo,Disney,2426.48,0,true,quasimododisney,Fun!23
33,Hercules,Disney,3411,0,true,herculesdisney,Fun!23
34,Mulan,Disney,3998.14,0,false,mulandisney,Fun!23
35,Lilo,Disney,2383.44,0,false,lilodisney,Fun!23
36,Stitch,Disney,842.39,0,true,stitchdisney,Fun!23
37,Daniel,Mejia,1604.26,0,true,danielmejia,Fun!23
38,Alireza,Nouri,1141.33,0,true,alirezanouri,Fun!23
39,Isabella,Gaytan,4965.6,0,false,isabellagaytan,Fun!23
40,Alondra,Gonzalez,5089.18,0,false,alondragonzalez,Fun!23
41,Angel,Aguayo,928.25,0,true,aguayoangel,Fun!23
42,Cesar,Alvarez,1035.68,0,false,alvarezcesar,Fun!23
43,Javier,Aranda,1053.61,0,false,arandajavier,Fun!23
44,Rafael,Ayala,4711.88,0,false,ayalarafael,Fun!23
45,Raul,BaezRamirez,2217.45,0,true,baezramirezraul,Fun!23
46,Alondra,Baquier,5935.93,0,false,baquieralondra,Fun!23
47,Darien,Booth,1045.19,0,true,boothdarien,Fun!23
48,Gabriela,Canizales,1921.72,0,true,canizalesgabriela,Fun!23
49,Steven,Carrillo,4520.5,0,false,carrillosteven,Fun!23
50,Bungein,Cheng,5580.2,0,false,chengbungein,Fun!23
51,Valeria,Contreras,1820.36,0,false,contrerasvaleria,Fun!23
52,Cesar,DiazCaraveo,1379.95,0,true,diazcaraveocesar,Fun!23
53,Hector,Diaz,5396.94,0,false,diazhector,Fun!23
54,Marco,GarciaFernandez,5330.65,0,false,garciafernandezmarco,Fun!23
55,Christian,Garcia,5199.95,0,true,garciachristian,Fun!23
56,Isabella,Garcia,873.33,0,false,garciaisabella,Fun!23
57,Jorge,Garcia,2397.24,0,true,garciajorge,Fun!23
58,Eric,Gardea,5239.1,0,true,gardeaeric,Fun!23
59,Derek,Gomez,3742.34,0,true,gomezderek,Fun!23
60,Maria,Gonzalez,3322.45,0,true,gonzalezmaria,Fun!23
61,Kevin,Guerra,3578.24,0,true,guerrakevin,Fun!23
62,Ian,Gutierrez,3338.16,0,false,gutierrezian,Fun!23
63,Alan,Holguin,2982.55,0,false,holguinalan,Fun!23
64,Jazmin,Huerta,4134.07,0,true,huertajazmin,Fun!23
65,Michael,Ike,5603.26,0,true,ikemichael,Fun!23
66,Jorge,Jaquez,2361.56,0,false,jaquezjorge,Fun!23
67,Roberto,Johnson,3015.77,0,true,johnsonroberto,Fun!23
68,Kimberly,Kocian,5492.39,0,false,kociankimberly,Fun!23
69,Erik,Laneave,5039.86,0,true,laneaveerik,Fun!23
70,Devin,Lara,1094.76,0,false,laradevin,Fun!23
71,Caleb,Lopez,1956.2,0,true,lopezcaleb,Fun!23
72,Claire,Macdonald,5116.64,0,false,macdonaldclaire,Fun!23
73,Sebastian,Mercado,5336.81,0,true,mercadosebastian,Fun!23
74,Natalia,MestaValenzuela,5629.39,0,false,mestavalenzuelanatalia,Fun!23
75,Christin,Moreno,3659.85,0,true,morenochristin,Fun!23
76,Saeefa,Nowmi,1284.51,0,false,nowmisaeefa,Fun!23
77,Christian,Odom,1891.53,0,true,odomchristian,Fun!23
78,Marko,Padilla,806.8,0,false,padillamarko,Fun!23
79,Raul,Pallares,4295.4,0,true,pallaresraul,Fun!23
80,Diego,Pedraza,877.32,0,false,pedrazadiego,Fun!23
81,Anaiah,Quinn,1930.45,0,false,quinnanaiah,Fun!23
82,Luis,Quinones,4135.06,0,true,quinonesluis,Fun!23
83,Fernando,Remes,2294.14,0,false,remesfernando,Fun!23
84,Ashley,Rivas,5277.82,0,false,rivasashley,Fun!23
85,Adrian,Rocha,5942.49,0,false,rochaadrian,Fun!23
86,Christian,Rodriguez,1922.59,0,true,rodriguezchristian,Fun!23
87,Sabas,Rojas,5538.03,0,true,rojassabas,Fun!23
88,Edgar,Ruiz,2376.67,0,false,ruizedgar,Fun!23
89,Salvador,Ruiz,4108.1,0,false,ruizsalvador,Fun!23
90,Jorge,Sandoval,1835.11,0,false,sandovaljorge,Fun!23
91,Fernando,Sepulveda,5831.35,0,false,sepulvedafernando,Fun!23
92,William,Staker,3947.95,0,false,stakerwilliam,Fun!23
93,Angel,UrbinaAraiza,2541.15,0,true,urbinaaraizaangel,Fun!23
94,Martin,Vallecillo,3990.14,0,true,vallecillomartin,Fun!23
95,Javier,Vazquez,2413.7,0,false,vazquezjavier,Fun!23
96,Walter,Wawra,4246.8,0,true,wawrawalter,Fun!23
97,Zachary,Wittmann,2366.6,0,true,wittmannzachary,Fun!23
98,Maria,Zuany,4248.77,0,true,zuanymaria,Fun!23
99,Tom,Perez,5598.84,0,false,pereztom,Fun!23
100,Brad,Patel,5673.87,0,false,patelbrad,Fun!23
101,Robert,Lyons,2070.46,0,true,lyonsrobert,Fun!23
102,Dana,Williams,5569.46,0,true,williamsdana,Fun!23
103,Brittany,Andrews,2258.99,0,false,andrewsbrittany,Fun!23
104,Sean,Klein,4012.49,0,false,kleinsean,Fun!23
105,Stephanie,Mcdonald,3399.08,0,false,mcdonaldstephanie,Fun!23
106,Daniel,Olson,1587.03,0,false,olsondaniel,Fun!23
